cell_id,anomaly_label,cell_type,disease_category
CELL_005100,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_003821,0,Platelet,Normal_Platelet
CELL_000910,0,Neutrophil,Normal_WBC
CELL_005118,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_004849,1,Spherocyte,Anemia
CELL_000143,0,Neutrophil,Normal_WBC
CELL_002830,0,Normal_RBC,Normal_RBC
CELL_000279,0,Neutrophil,Normal_WBC
CELL_002582,0,Eosinophil,Normal_WBC
CELL_004333,1,Prolymphocyte,Leukemia
CELL_005701,1,Smudge_Cell,Artefact
CELL_000691,0,Neutrophil,Normal_WBC
CELL_003286,0,Normal_RBC,Normal_RBC
CELL_004699,1,Schistocyte,Anemia
CELL_001925,0,Lymphocyte,Normal_WBC
CELL_001384,0,Lymphocyte,Normal_WBC
CELL_003613,0,Normal_RBC,Normal_RBC
CELL_002696,0,Basophil,Normal_WBC
CELL_000881,0,Neutrophil,Normal_WBC
CELL_004591,1,Elliptocyte,Anemia
CELL_005527,1,Toxic_Granulation,Infection
CELL_002900,0,Normal_RBC,Normal_RBC
CELL_000061,0,Neutrophil,Normal_WBC
CELL_001251,0,Lymphocyte,Normal_WBC
CELL_004083,1,Blast_Cell,Leukemia
CELL_003834,0,Platelet,Normal_Platelet
CELL_000685,0,Neutrophil,Normal_WBC
CELL_000178,0,Neutrophil,Normal_WBC
CELL_000271,0,Neutrophil,Normal_WBC
CELL_001220,0,Lymphocyte,Normal_WBC
CELL_003481,0,Normal_RBC,Normal_RBC
CELL_002822,0,Normal_RBC,Normal_RBC
CELL_004767,1,Schistocyte,Anemia
CELL_004522,1,Elliptocyte,Anemia
CELL_001804,0,Lymphocyte,Normal_WBC
CELL_000740,0,Neutrophil,Normal_WBC
CELL_002708,0,Basophil,Normal_WBC
CELL_000915,0,Neutrophil,Normal_WBC
CELL_004869,1,Spherocyte,Anemia
CELL_004097,1,Blast_Cell,Leukemia
CELL_001870,0,Lymphocyte,Normal_WBC
CELL_000113,0,Neutrophil,Normal_WBC
CELL_000375,0,Neutrophil,Normal_WBC
CELL_001171,0,Lymphocyte,Normal_WBC
CELL_000176,0,Neutrophil,Normal_WBC
CELL_003648,0,Normal_RBC,Normal_RBC
CELL_000024,0,Neutrophil,Normal_WBC
CELL_004468,1,Elliptocyte,Anemia
CELL_004970,1,Spherocyte,Anemia
CELL_003245,0,Normal_RBC,Normal_RBC
CELL_003934,0,Platelet,Normal_Platelet
CELL_001137,0,Lymphocyte,Normal_WBC
CELL_000831,0,Neutrophil,Normal_WBC
CELL_003214,0,Normal_RBC,Normal_RBC
CELL_005349,1,Hypersegmented_Neutrophil,Infection
CELL_002301,0,Monocyte,Normal_WBC
CELL_002651,0,Basophil,Normal_WBC
CELL_004060,1,Blast_Cell,Leukemia
CELL_002826,0,Normal_RBC,Normal_RBC
CELL_001222,0,Lymphocyte,Normal_WBC
CELL_005767,1,Smudge_Cell,Artefact
CELL_003141,0,Normal_RBC,Normal_RBC
CELL_002940,0,Normal_RBC,Normal_RBC
CELL_003810,0,Platelet,Normal_Platelet
CELL_001588,0,Lymphocyte,Normal_WBC
CELL_004115,1,Blast_Cell,Leukemia
CELL_001814,0,Lymphocyte,Normal_WBC
CELL_002310,0,Monocyte,Normal_WBC
CELL_001506,0,Lymphocyte,Normal_WBC
CELL_001713,0,Lymphocyte,Normal_WBC
CELL_004923,1,Spherocyte,Anemia
CELL_004427,1,Prolymphocyte,Leukemia
CELL_003814,0,Platelet,Normal_Platelet
CELL_001143,0,Lymphocyte,Normal_WBC
CELL_000211,0,Neutrophil,Normal_WBC
CELL_004050,1,Blast_Cell,Leukemia
CELL_005242,1,Target_Cell,Anemia
CELL_002045,0,Monocyte,Normal_WBC
CELL_003273,0,Normal_RBC,Normal_RBC
CELL_004466,1,Elliptocyte,Anemia
CELL_003931,0,Platelet,Normal_Platelet
CELL_000235,0,Neutrophil,Normal_WBC
CELL_003013,0,Normal_RBC,Normal_RBC
CELL_002356,0,Eosinophil,Normal_WBC
CELL_001891,0,Lymphocyte,Normal_WBC
CELL_001479,0,Lymphocyte,Normal_WBC
CELL_003352,0,Normal_RBC,Normal_RBC
CELL_003961,0,Platelet,Normal_Platelet
CELL_000776,0,Neutrophil,Normal_WBC
CELL_001922,0,Lymphocyte,Normal_WBC
CELL_004670,1,Schistocyte,Anemia
CELL_001781,0,Lymphocyte,Normal_WBC
CELL_002442,0,Eosinophil,Normal_WBC
CELL_004442,1,Prolymphocyte,Leukemia
CELL_001050,0,Neutrophil,Normal_WBC
CELL_001007,0,Neutrophil,Normal_WBC
CELL_004972,1,Spherocyte,Anemia
CELL_001638,0,Lymphocyte,Normal_WBC
CELL_003456,0,Normal_RBC,Normal_RBC
CELL_000521,0,Neutrophil,Normal_WBC
CELL_001139,0,Lymphocyte,Normal_WBC
CELL_002304,0,Monocyte,Normal_WBC
CELL_003630,0,Normal_RBC,Normal_RBC
CELL_001795,0,Lymphocyte,Normal_WBC
CELL_003319,0,Normal_RBC,Normal_RBC
CELL_002437,0,Eosinophil,Normal_WBC
CELL_005300,1,Hypersegmented_Neutrophil,Infection
CELL_002572,0,Eosinophil,Normal_WBC
CELL_000530,0,Neutrophil,Normal_WBC
CELL_002955,0,Normal_RBC,Normal_RBC
CELL_000476,0,Neutrophil,Normal_WBC
CELL_003395,0,Normal_RBC,Normal_RBC
CELL_004588,1,Elliptocyte,Anemia
CELL_001639,0,Lymphocyte,Normal_WBC
CELL_001274,0,Lymphocyte,Normal_WBC
CELL_005615,1,Reactive_Lymphocyte,Infection
CELL_000115,0,Neutrophil,Normal_WBC
CELL_001636,0,Lymphocyte,Normal_WBC
CELL_001821,0,Lymphocyte,Normal_WBC
CELL_005790,1,Smudge_Cell,Artefact
CELL_000524,0,Neutrophil,Normal_WBC
CELL_004373,1,Prolymphocyte,Leukemia
CELL_002370,0,Eosinophil,Normal_WBC
CELL_004432,1,Prolymphocyte,Leukemia
CELL_003374,0,Normal_RBC,Normal_RBC
CELL_004151,1,Blast_Cell,Leukemia
CELL_004711,1,Schistocyte,Anemia
CELL_002411,0,Eosinophil,Normal_WBC
CELL_004768,1,Schistocyte,Anemia
CELL_004178,1,Blast_Cell,Leukemia
CELL_002979,0,Normal_RBC,Normal_RBC
CELL_003564,0,Normal_RBC,Normal_RBC
CELL_000754,0,Neutrophil,Normal_WBC
CELL_002931,0,Normal_RBC,Normal_RBC
CELL_005651,1,Reactive_Lymphocyte,Infection
CELL_003166,0,Normal_RBC,Normal_RBC
CELL_005190,1,Target_Cell,Anemia
CELL_005376,1,Hypersegmented_Neutrophil,Infection
CELL_003511,0,Normal_RBC,Normal_RBC
CELL_003463,0,Normal_RBC,Normal_RBC
CELL_005115,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_002495,0,Eosinophil,Normal_WBC
CELL_002419,0,Eosinophil,Normal_WBC
CELL_002692,0,Basophil,Normal_WBC
CELL_001330,0,Lymphocyte,Normal_WBC
CELL_002971,0,Normal_RBC,Normal_RBC
CELL_001147,0,Lymphocyte,Normal_WBC
CELL_002351,0,Eosinophil,Normal_WBC
CELL_002105,0,Monocyte,Normal_WBC
CELL_003777,0,Platelet,Normal_Platelet
CELL_000479,0,Neutrophil,Normal_WBC
CELL_004615,1,Elliptocyte,Anemia
CELL_003964,0,Platelet,Normal_Platelet
CELL_002024,0,Monocyte,Normal_WBC
CELL_001844,0,Lymphocyte,Normal_WBC
CELL_005011,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_001016,0,Neutrophil,Normal_WBC
CELL_002125,0,Monocyte,Normal_WBC
CELL_003820,0,Platelet,Normal_Platelet
CELL_004037,1,Blast_Cell,Leukemia
CELL_002011,0,Monocyte,Normal_WBC
CELL_002296,0,Monocyte,Normal_WBC
CELL_001158,0,Lymphocyte,Normal_WBC
CELL_001442,0,Lymphocyte,Normal_WBC
CELL_003008,0,Normal_RBC,Normal_RBC
CELL_004110,1,Blast_Cell,Leukemia
CELL_001751,0,Lymphocyte,Normal_WBC
CELL_000886,0,Neutrophil,Normal_WBC
CELL_005072,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_000655,0,Neutrophil,Normal_WBC
CELL_001867,0,Lymphocyte,Normal_WBC
CELL_001628,0,Lymphocyte,Normal_WBC
CELL_001652,0,Lymphocyte,Normal_WBC
CELL_000874,0,Neutrophil,Normal_WBC
CELL_005507,1,Toxic_Granulation,Infection
CELL_002619,0,Eosinophil,Normal_WBC
CELL_005094,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_005865,1,Artefact,Artefact
CELL_003577,0,Normal_RBC,Normal_RBC
CELL_005431,1,Toxic_Granulation,Infection
CELL_003240,0,Normal_RBC,Normal_RBC
CELL_001275,0,Lymphocyte,Normal_WBC
CELL_000756,0,Neutrophil,Normal_WBC
CELL_000348,0,Neutrophil,Normal_WBC
CELL_000650,0,Neutrophil,Normal_WBC
CELL_001924,0,Lymphocyte,Normal_WBC
CELL_000724,0,Neutrophil,Normal_WBC
CELL_005820,1,Artefact,Artefact
CELL_004401,1,Prolymphocyte,Leukemia
CELL_004464,1,Elliptocyte,Anemia
CELL_003942,0,Platelet,Normal_Platelet
CELL_002376,0,Eosinophil,Normal_WBC
CELL_000051,0,Neutrophil,Normal_WBC
CELL_001445,0,Lymphocyte,Normal_WBC
CELL_000716,0,Neutrophil,Normal_WBC
CELL_000220,0,Neutrophil,Normal_WBC
CELL_005086,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_003759,0,Platelet,Normal_Platelet
CELL_002445,0,Eosinophil,Normal_WBC
CELL_002843,0,Normal_RBC,Normal_RBC
CELL_000265,0,Neutrophil,Normal_WBC
CELL_000182,0,Neutrophil,Normal_WBC
CELL_005319,1,Hypersegmented_Neutrophil,Infection
CELL_002464,0,Eosinophil,Normal_WBC
CELL_000836,0,Neutrophil,Normal_WBC
CELL_000600,0,Neutrophil,Normal_WBC
CELL_004724,1,Schistocyte,Anemia
CELL_000993,0,Neutrophil,Normal_WBC
CELL_002206,0,Monocyte,Normal_WBC
CELL_001383,0,Lymphocyte,Normal_WBC
CELL_000604,0,Neutrophil,Normal_WBC
CELL_002961,0,Normal_RBC,Normal_RBC
CELL_005720,1,Smudge_Cell,Artefact
CELL_004795,1,Schistocyte,Anemia
CELL_004630,1,Elliptocyte,Anemia
CELL_001701,0,Lymphocyte,Normal_WBC
CELL_003471,0,Normal_RBC,Normal_RBC
CELL_003262,0,Normal_RBC,Normal_RBC
CELL_001661,0,Lymphocyte,Normal_WBC
CELL_000150,0,Neutrophil,Normal_WBC
CELL_004571,1,Elliptocyte,Anemia
CELL_002262,0,Monocyte,Normal_WBC
CELL_003600,0,Normal_RBC,Normal_RBC
CELL_002458,0,Eosinophil,Normal_WBC
CELL_002924,0,Normal_RBC,Normal_RBC
CELL_001806,0,Lymphocyte,Normal_WBC
CELL_004536,1,Elliptocyte,Anemia
CELL_001852,0,Lymphocyte,Normal_WBC
CELL_005856,1,Artefact,Artefact
CELL_003026,0,Normal_RBC,Normal_RBC
CELL_004308,1,Prolymphocyte,Leukemia
CELL_002697,0,Basophil,Normal_WBC
CELL_003619,0,Normal_RBC,Normal_RBC
CELL_000517,0,Neutrophil,Normal_WBC
CELL_005044,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_001295,0,Lymphocyte,Normal_WBC
CELL_003575,0,Normal_RBC,Normal_RBC
CELL_005191,1,Target_Cell,Anemia
CELL_001364,0,Lymphocyte,Normal_WBC
CELL_005428,1,Toxic_Granulation,Infection
CELL_003079,0,Normal_RBC,Normal_RBC
CELL_003474,0,Normal_RBC,Normal_RBC
CELL_005563,1,Reactive_Lymphocyte,Infection
CELL_004748,1,Schistocyte,Anemia
CELL_005288,1,Hypersegmented_Neutrophil,Infection
CELL_004778,1,Schistocyte,Anemia
CELL_004229,1,Blast_Cell,Leukemia
CELL_001929,0,Lymphocyte,Normal_WBC
CELL_004416,1,Prolymphocyte,Leukemia
CELL_003105,0,Normal_RBC,Normal_RBC
CELL_004551,1,Elliptocyte,Anemia
CELL_003148,0,Normal_RBC,Normal_RBC
CELL_000839,0,Neutrophil,Normal_WBC
CELL_003985,0,Platelet,Normal_Platelet
CELL_000360,0,Neutrophil,Normal_WBC
CELL_000528,0,Neutrophil,Normal_WBC
CELL_001604,0,Lymphocyte,Normal_WBC
CELL_003764,0,Platelet,Normal_Platelet
CELL_002063,0,Monocyte,Normal_WBC
CELL_002332,0,Monocyte,Normal_WBC
CELL_004761,1,Schistocyte,Anemia
CELL_001978,0,Monocyte,Normal_WBC
CELL_001768,0,Lymphocyte,Normal_WBC
CELL_003189,0,Normal_RBC,Normal_RBC
CELL_003435,0,Normal_RBC,Normal_RBC
CELL_002714,0,Basophil,Normal_WBC
CELL_004202,1,Blast_Cell,Leukemia
CELL_004330,1,Prolymphocyte,Leukemia
CELL_004981,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_000383,0,Neutrophil,Normal_WBC
CELL_002396,0,Eosinophil,Normal_WBC
CELL_003293,0,Normal_RBC,Normal_RBC
CELL_003122,0,Normal_RBC,Normal_RBC
CELL_001528,0,Lymphocyte,Normal_WBC
CELL_005857,1,Artefact,Artefact
CELL_003911,0,Platelet,Normal_Platelet
CELL_005090,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_001631,0,Lymphocyte,Normal_WBC
CELL_003758,0,Platelet,Normal_Platelet
CELL_003828,0,Platelet,Normal_Platelet
CELL_001453,0,Lymphocyte,Normal_WBC
CELL_004645,1,Elliptocyte,Anemia
CELL_003890,0,Platelet,Normal_Platelet
CELL_004736,1,Schistocyte,Anemia
CELL_004933,1,Spherocyte,Anemia
CELL_001534,0,Lymphocyte,Normal_WBC
CELL_000165,0,Neutrophil,Normal_WBC
CELL_003101,0,Normal_RBC,Normal_RBC
CELL_000173,0,Neutrophil,Normal_WBC
CELL_004212,1,Blast_Cell,Leukemia
CELL_002880,0,Normal_RBC,Normal_RBC
CELL_004157,1,Blast_Cell,Leukemia
CELL_005791,1,Smudge_Cell,Artefact
CELL_000895,0,Neutrophil,Normal_WBC
CELL_005541,1,Toxic_Granulation,Infection
CELL_002553,0,Eosinophil,Normal_WBC
CELL_004883,1,Spherocyte,Anemia
CELL_003483,0,Normal_RBC,Normal_RBC
CELL_005448,1,Toxic_Granulation,Infection
CELL_000870,0,Neutrophil,Normal_WBC
CELL_000299,0,Neutrophil,Normal_WBC
CELL_000393,0,Neutrophil,Normal_WBC
CELL_004818,1,Schistocyte,Anemia
CELL_004678,1,Schistocyte,Anemia
CELL_002718,0,Basophil,Normal_WBC
CELL_000167,0,Neutrophil,Normal_WBC
CELL_002747,0,Basophil,Normal_WBC
CELL_004956,1,Spherocyte,Anemia
CELL_003265,0,Normal_RBC,Normal_RBC
CELL_003813,0,Platelet,Normal_Platelet
CELL_005658,1,Reactive_Lymphocyte,Infection
CELL_002153,0,Monocyte,Normal_WBC
CELL_002537,0,Eosinophil,Normal_WBC
CELL_001727,0,Lymphocyte,Normal_WBC
CELL_000867,0,Neutrophil,Normal_WBC
CELL_002602,0,Eosinophil,Normal_WBC
CELL_001437,0,Lymphocyte,Normal_WBC
CELL_004150,1,Blast_Cell,Leukemia
CELL_004847,1,Spherocyte,Anemia
CELL_002318,0,Monocyte,Normal_WBC
CELL_001276,0,Lymphocyte,Normal_WBC
CELL_002579,0,Eosinophil,Normal_WBC
CELL_001733,0,Lymphocyte,Normal_WBC
CELL_004629,1,Elliptocyte,Anemia
CELL_001127,0,Lymphocyte,Normal_WBC
CELL_004832,1,Spherocyte,Anemia
CELL_001501,0,Lymphocyte,Normal_WBC
CELL_001365,0,Lymphocyte,Normal_WBC
CELL_002055,0,Monocyte,Normal_WBC
CELL_005283,1,Hypersegmented_Neutrophil,Infection
CELL_001492,0,Lymphocyte,Normal_WBC
CELL_001915,0,Lymphocyte,Normal_WBC
CELL_003368,0,Normal_RBC,Normal_RBC
CELL_001574,0,Lymphocyte,Normal_WBC
CELL_002375,0,Eosinophil,Normal_WBC
CELL_000379,0,Neutrophil,Normal_WBC
CELL_004930,1,Spherocyte,Anemia
CELL_001403,0,Lymphocyte,Normal_WBC
CELL_005274,1,Hypersegmented_Neutrophil,Infection
CELL_002361,0,Eosinophil,Normal_WBC
CELL_002742,0,Basophil,Normal_WBC
CELL_000813,0,Neutrophil,Normal_WBC
CELL_005101,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_005646,1,Reactive_Lymphocyte,Infection
CELL_002121,0,Monocyte,Normal_WBC
CELL_005764,1,Smudge_Cell,Artefact
CELL_001027,0,Neutrophil,Normal_WBC
CELL_004593,1,Elliptocyte,Anemia
CELL_002258,0,Monocyte,Normal_WBC
CELL_004134,1,Blast_Cell,Leukemia
CELL_004829,1,Schistocyte,Anemia
CELL_001097,0,Neutrophil,Normal_WBC
CELL_001161,0,Lymphocyte,Normal_WBC
CELL_001321,0,Lymphocyte,Normal_WBC
CELL_002377,0,Eosinophil,Normal_WBC
CELL_000967,0,Neutrophil,Normal_WBC
CELL_001584,0,Lymphocyte,Normal_WBC
CELL_000366,0,Neutrophil,Normal_WBC
CELL_005126,1,Target_Cell,Anemia
CELL_003048,0,Normal_RBC,Normal_RBC
CELL_002601,0,Eosinophil,Normal_WBC
CELL_002686,0,Basophil,Normal_WBC
CELL_003663,0,Normal_RBC,Normal_RBC
CELL_002628,0,Eosinophil,Normal_WBC
CELL_002441,0,Eosinophil,Normal_WBC
CELL_002887,0,Normal_RBC,Normal_RBC
CELL_005695,1,Reactive_Lymphocyte,Infection
CELL_001658,0,Lymphocyte,Normal_WBC
CELL_001186,0,Lymphocyte,Normal_WBC
CELL_002173,0,Monocyte,Normal_WBC
CELL_001847,0,Lymphocyte,Normal_WBC
CELL_002145,0,Monocyte,Normal_WBC
CELL_001789,0,Lymphocyte,Normal_WBC
CELL_002823,0,Normal_RBC,Normal_RBC
CELL_005129,1,Target_Cell,Anemia
CELL_004756,1,Schistocyte,Anemia
CELL_003963,0,Platelet,Normal_Platelet
CELL_000205,0,Neutrophil,Normal_WBC
CELL_003392,0,Normal_RBC,Normal_RBC
CELL_004533,1,Elliptocyte,Anemia
CELL_005481,1,Toxic_Granulation,Infection
CELL_000405,0,Neutrophil,Normal_WBC
CELL_000863,0,Neutrophil,Normal_WBC
CELL_003327,0,Normal_RBC,Normal_RBC
CELL_004525,1,Elliptocyte,Anemia
CELL_005876,1,Artefact,Artefact
CELL_003837,0,Platelet,Normal_Platelet
CELL_000171,0,Neutrophil,Normal_WBC
CELL_000654,0,Neutrophil,Normal_WBC
CELL_005595,1,Reactive_Lymphocyte,Infection
CELL_000349,0,Neutrophil,Normal_WBC
CELL_000286,0,Neutrophil,Normal_WBC
CELL_002348,0,Monocyte,Normal_WBC
CELL_004089,1,Blast_Cell,Leukemia
CELL_001854,0,Lymphocyte,Normal_WBC
CELL_005188,1,Target_Cell,Anemia
CELL_002139,0,Monocyte,Normal_WBC
CELL_001526,0,Lymphocyte,Normal_WBC
CELL_003615,0,Normal_RBC,Normal_RBC
CELL_001203,0,Lymphocyte,Normal_WBC
CELL_002218,0,Monocyte,Normal_WBC
CELL_002941,0,Normal_RBC,Normal_RBC
CELL_000238,0,Neutrophil,Normal_WBC
CELL_003823,0,Platelet,Normal_Platelet
CELL_001997,0,Monocyte,Normal_WBC
CELL_003179,0,Normal_RBC,Normal_RBC
CELL_002443,0,Eosinophil,Normal_WBC
CELL_002674,0,Basophil,Normal_WBC
CELL_005777,1,Smudge_Cell,Artefact
CELL_005709,1,Smudge_Cell,Artefact
CELL_000537,0,Neutrophil,Normal_WBC
CELL_005602,1,Reactive_Lymphocyte,Infection
CELL_001511,0,Lymphocyte,Normal_WBC
CELL_005276,1,Hypersegmented_Neutrophil,Infection
CELL_001599,0,Lymphocyte,Normal_WBC
CELL_002595,0,Eosinophil,Normal_WBC
CELL_002808,0,Normal_RBC,Normal_RBC
CELL_002324,0,Monocyte,Normal_WBC
CELL_002248,0,Monocyte,Normal_WBC
CELL_001157,0,Lymphocyte,Normal_WBC
CELL_003647,0,Normal_RBC,Normal_RBC
CELL_001874,0,Lymphocyte,Normal_WBC
CELL_001301,0,Lymphocyte,Normal_WBC
CELL_004162,1,Blast_Cell,Leukemia
CELL_003124,0,Normal_RBC,Normal_RBC
CELL_002636,0,Eosinophil,Normal_WBC
CELL_001450,0,Lymphocyte,Normal_WBC
CELL_003919,0,Platelet,Normal_Platelet
CELL_001516,0,Lymphocyte,Normal_WBC
CELL_000367,0,Neutrophil,Normal_WBC
CELL_001231,0,Lymphocyte,Normal_WBC
CELL_001745,0,Lymphocyte,Normal_WBC
CELL_005745,1,Smudge_Cell,Artefact
CELL_002230,0,Monocyte,Normal_WBC
CELL_003790,0,Platelet,Normal_Platelet
CELL_002208,0,Monocyte,Normal_WBC
CELL_001190,0,Lymphocyte,Normal_WBC
CELL_004785,1,Schistocyte,Anemia
CELL_000791,0,Neutrophil,Normal_WBC
CELL_001144,0,Lymphocyte,Normal_WBC
CELL_001969,0,Monocyte,Normal_WBC
CELL_003104,0,Normal_RBC,Normal_RBC
CELL_003222,0,Normal_RBC,Normal_RBC
CELL_005122,1,Target_Cell,Anemia
CELL_002061,0,Monocyte,Normal_WBC
CELL_002740,0,Basophil,Normal_WBC
CELL_002064,0,Monocyte,Normal_WBC
CELL_001148,0,Lymphocyte,Normal_WBC
CELL_001595,0,Lymphocyte,Normal_WBC
CELL_000819,0,Neutrophil,Normal_WBC
CELL_001319,0,Lymphocyte,Normal_WBC
CELL_002232,0,Monocyte,Normal_WBC
CELL_004862,1,Spherocyte,Anemia
CELL_000093,0,Neutrophil,Normal_WBC
CELL_005415,1,Toxic_Granulation,Infection
CELL_000738,0,Neutrophil,Normal_WBC
CELL_005769,1,Smudge_Cell,Artefact
CELL_003020,0,Normal_RBC,Normal_RBC
CELL_004381,1,Prolymphocyte,Leukemia
CELL_004054,1,Blast_Cell,Leukemia
CELL_004393,1,Prolymphocyte,Leukemia
