cell_id,anomaly_label,cell_type,disease_category
CELL_001610,0,Lymphocyte,Normal_WBC
CELL_001965,0,Monocyte,Normal_WBC
CELL_001434,0,Lymphocyte,Normal_WBC
CELL_004267,1,Blast_Cell,Leukemia
CELL_000953,0,Neutrophil,Normal_WBC
CELL_001663,0,Lymphocyte,Normal_WBC
CELL_000169,0,Neutrophil,Normal_WBC
CELL_005865,1,Artefact,Artefact
CELL_003860,0,Platelet,Normal_Platelet
CELL_002630,0,Eosinophil,Normal_WBC
CELL_001952,0,Monocyte,Normal_WBC
CELL_001670,0,Lymphocyte,Normal_WBC
CELL_005761,1,Smudge_Cell,Artefact
CELL_001269,0,Lymphocyte,Normal_WBC
CELL_005714,1,Smudge_Cell,Artefact
CELL_002278,0,Monocyte,Normal_WBC
CELL_000081,0,Neutrophil,Normal_WBC
CELL_000347,0,Neutrophil,Normal_WBC
CELL_001744,0,Lymphocyte,Normal_WBC
CELL_002303,0,Monocyte,Normal_WBC
CELL_005137,1,Target_Cell,Anemia
CELL_004990,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_001043,0,Neutrophil,Normal_WBC
CELL_000394,0,Neutrophil,Normal_WBC
CELL_004078,1,Blast_Cell,Leukemia
CELL_004713,1,Schistocyte,Anemia
CELL_001658,0,Lymphocyte,Normal_WBC
CELL_000577,0,Neutrophil,Normal_WBC
CELL_004705,1,Schistocyte,Anemia
CELL_005080,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_003154,0,Normal_RBC,Normal_RBC
CELL_001551,0,Lymphocyte,Normal_WBC
CELL_004247,1,Blast_Cell,Leukemia
CELL_004386,1,Prolymphocyte,Leukemia
CELL_003210,0,Normal_RBC,Normal_RBC
CELL_004320,1,Prolymphocyte,Leukemia
CELL_001913,0,Lymphocyte,Normal_WBC
CELL_001946,0,Lymphocyte,Normal_WBC
CELL_000933,0,Neutrophil,Normal_WBC
CELL_000587,0,Neutrophil,Normal_WBC
CELL_004167,1,Blast_Cell,Leukemia
CELL_000309,0,Neutrophil,Normal_WBC
CELL_003769,0,Platelet,Normal_Platelet
CELL_001534,0,Lymphocyte,Normal_WBC
CELL_001177,0,Lymphocyte,Normal_WBC
CELL_000812,0,Neutrophil,Normal_WBC
CELL_001408,0,Lymphocyte,Normal_WBC
CELL_005550,1,Toxic_Granulation,Infection
CELL_000545,0,Neutrophil,Normal_WBC
CELL_004621,1,Elliptocyte,Anemia
CELL_005100,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_002167,0,Monocyte,Normal_WBC
CELL_003455,0,Normal_RBC,Normal_RBC
CELL_003238,0,Normal_RBC,Normal_RBC
CELL_003827,0,Platelet,Normal_Platelet
CELL_005772,1,Smudge_Cell,Artefact
CELL_000811,0,Neutrophil,Normal_WBC
CELL_003133,0,Normal_RBC,Normal_RBC
CELL_000015,0,Neutrophil,Normal_WBC
CELL_004205,1,Blast_Cell,Leukemia
CELL_003766,0,Platelet,Normal_Platelet
CELL_004928,1,Spherocyte,Anemia
CELL_002969,0,Normal_RBC,Normal_RBC
CELL_002612,0,Eosinophil,Normal_WBC
CELL_002032,0,Monocyte,Normal_WBC
CELL_000066,0,Neutrophil,Normal_WBC
CELL_003670,0,Normal_RBC,Normal_RBC
CELL_001363,0,Lymphocyte,Normal_WBC
CELL_004039,1,Blast_Cell,Leukemia
CELL_001666,0,Lymphocyte,Normal_WBC
CELL_004481,1,Elliptocyte,Anemia
CELL_004441,1,Prolymphocyte,Leukemia
CELL_000677,0,Neutrophil,Normal_WBC
CELL_000440,0,Neutrophil,Normal_WBC
CELL_002616,0,Eosinophil,Normal_WBC
CELL_002134,0,Monocyte,Normal_WBC
CELL_000089,0,Neutrophil,Normal_WBC
CELL_005039,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_000752,0,Neutrophil,Normal_WBC
CELL_005347,1,Hypersegmented_Neutrophil,Infection
CELL_000320,0,Neutrophil,Normal_WBC
CELL_001375,0,Lymphocyte,Normal_WBC
CELL_003590,0,Normal_RBC,Normal_RBC
CELL_004774,1,Schistocyte,Anemia
CELL_002695,0,Basophil,Normal_WBC
CELL_004574,1,Elliptocyte,Anemia
CELL_001262,0,Lymphocyte,Normal_WBC
CELL_003480,0,Normal_RBC,Normal_RBC
CELL_001221,0,Lymphocyte,Normal_WBC
CELL_005333,1,Hypersegmented_Neutrophil,Infection
CELL_004756,1,Schistocyte,Anemia
CELL_000372,0,Neutrophil,Normal_WBC
CELL_002996,0,Normal_RBC,Normal_RBC
CELL_000554,0,Neutrophil,Normal_WBC
CELL_005356,1,Hypersegmented_Neutrophil,Infection
CELL_001034,0,Neutrophil,Normal_WBC
CELL_000656,0,Neutrophil,Normal_WBC
CELL_005061,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_002446,0,Eosinophil,Normal_WBC
CELL_003266,0,Normal_RBC,Normal_RBC
CELL_000352,0,Neutrophil,Normal_WBC
CELL_002945,0,Normal_RBC,Normal_RBC
CELL_004624,1,Elliptocyte,Anemia
CELL_000182,0,Neutrophil,Normal_WBC
CELL_005690,1,Reactive_Lymphocyte,Infection
CELL_002128,0,Monocyte,Normal_WBC
CELL_005609,1,Reactive_Lymphocyte,Infection
CELL_002586,0,Eosinophil,Normal_WBC
CELL_002095,0,Monocyte,Normal_WBC
CELL_004576,1,Elliptocyte,Anemia
CELL_001129,0,Lymphocyte,Normal_WBC
CELL_002800,0,Basophil,Normal_WBC
CELL_004784,1,Schistocyte,Anemia
CELL_000260,0,Neutrophil,Normal_WBC
CELL_000280,0,Neutrophil,Normal_WBC
CELL_001087,0,Neutrophil,Normal_WBC
CELL_000199,0,Neutrophil,Normal_WBC
CELL_000788,0,Neutrophil,Normal_WBC
CELL_005478,1,Toxic_Granulation,Infection
CELL_005509,1,Toxic_Granulation,Infection
CELL_001076,0,Neutrophil,Normal_WBC
CELL_000539,0,Neutrophil,Normal_WBC
CELL_000502,0,Neutrophil,Normal_WBC
CELL_003304,0,Normal_RBC,Normal_RBC
CELL_004344,1,Prolymphocyte,Leukemia
CELL_001546,0,Lymphocyte,Normal_WBC
CELL_003404,0,Normal_RBC,Normal_RBC
CELL_001631,0,Lymphocyte,Normal_WBC
CELL_003647,0,Normal_RBC,Normal_RBC
CELL_005417,1,Toxic_Granulation,Infection
CELL_005404,1,Hypersegmented_Neutrophil,Infection
CELL_000995,0,Neutrophil,Normal_WBC
CELL_005591,1,Reactive_Lymphocyte,Infection
CELL_000016,0,Neutrophil,Normal_WBC
CELL_002903,0,Normal_RBC,Normal_RBC
CELL_001868,0,Lymphocyte,Normal_WBC
CELL_005532,1,Toxic_Granulation,Infection
CELL_003308,0,Normal_RBC,Normal_RBC
CELL_003316,0,Normal_RBC,Normal_RBC
CELL_004939,1,Spherocyte,Anemia
CELL_002537,0,Eosinophil,Normal_WBC
CELL_002474,0,Eosinophil,Normal_WBC
CELL_005122,1,Target_Cell,Anemia
CELL_003943,0,Platelet,Normal_Platelet
CELL_004048,1,Blast_Cell,Leukemia
CELL_002099,0,Monocyte,Normal_WBC
CELL_002415,0,Eosinophil,Normal_WBC
CELL_004528,1,Elliptocyte,Anemia
CELL_005613,1,Reactive_Lymphocyte,Infection
CELL_003762,0,Platelet,Normal_Platelet
CELL_005247,1,Target_Cell,Anemia
CELL_001195,0,Lymphocyte,Normal_WBC
CELL_002930,0,Normal_RBC,Normal_RBC
CELL_003650,0,Normal_RBC,Normal_RBC
CELL_005098,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_002522,0,Eosinophil,Normal_WBC
CELL_004544,1,Elliptocyte,Anemia
CELL_001236,0,Lymphocyte,Normal_WBC
CELL_004963,1,Spherocyte,Anemia
CELL_001288,0,Lymphocyte,Normal_WBC
CELL_004560,1,Elliptocyte,Anemia
CELL_002228,0,Monocyte,Normal_WBC
CELL_003856,0,Platelet,Normal_Platelet
CELL_003182,0,Normal_RBC,Normal_RBC
CELL_002413,0,Eosinophil,Normal_WBC
CELL_002752,0,Basophil,Normal_WBC
CELL_005465,1,Toxic_Granulation,Infection
CELL_002352,0,Eosinophil,Normal_WBC
CELL_003391,0,Normal_RBC,Normal_RBC
CELL_003097,0,Normal_RBC,Normal_RBC
CELL_000009,0,Neutrophil,Normal_WBC
CELL_002224,0,Monocyte,Normal_WBC
CELL_002452,0,Eosinophil,Normal_WBC
CELL_005767,1,Smudge_Cell,Artefact
CELL_005127,1,Target_Cell,Anemia
CELL_003648,0,Normal_RBC,Normal_RBC
CELL_000038,0,Neutrophil,Normal_WBC
CELL_000231,0,Neutrophil,Normal_WBC
CELL_002917,0,Normal_RBC,Normal_RBC
CELL_000600,0,Neutrophil,Normal_WBC
CELL_001058,0,Neutrophil,Normal_WBC
CELL_004711,1,Schistocyte,Anemia
CELL_003430,0,Normal_RBC,Normal_RBC
CELL_001351,0,Lymphocyte,Normal_WBC
CELL_000374,0,Neutrophil,Normal_WBC
CELL_002681,0,Basophil,Normal_WBC
CELL_000562,0,Neutrophil,Normal_WBC
CELL_000034,0,Neutrophil,Normal_WBC
CELL_004170,1,Blast_Cell,Leukemia
CELL_000045,0,Neutrophil,Normal_WBC
CELL_001298,0,Lymphocyte,Normal_WBC
CELL_002241,0,Monocyte,Normal_WBC
CELL_001478,0,Lymphocyte,Normal_WBC
CELL_002272,0,Monocyte,Normal_WBC
CELL_002178,0,Monocyte,Normal_WBC
CELL_001394,0,Lymphocyte,Normal_WBC
CELL_005689,1,Reactive_Lymphocyte,Infection
CELL_002437,0,Eosinophil,Normal_WBC
CELL_004940,1,Spherocyte,Anemia
CELL_000326,0,Neutrophil,Normal_WBC
CELL_003831,0,Platelet,Normal_Platelet
CELL_002421,0,Eosinophil,Normal_WBC
CELL_002900,0,Normal_RBC,Normal_RBC
CELL_004872,1,Spherocyte,Anemia
CELL_003955,0,Platelet,Normal_Platelet
CELL_002478,0,Eosinophil,Normal_WBC
CELL_002743,0,Basophil,Normal_WBC
CELL_005097,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_004260,1,Blast_Cell,Leukemia
CELL_004336,1,Prolymphocyte,Leukemia
CELL_002351,0,Eosinophil,Normal_WBC
CELL_000623,0,Neutrophil,Normal_WBC
CELL_000764,0,Neutrophil,Normal_WBC
CELL_004384,1,Prolymphocyte,Leukemia
CELL_002307,0,Monocyte,Normal_WBC
CELL_002442,0,Eosinophil,Normal_WBC
CELL_002524,0,Eosinophil,Normal_WBC
CELL_001200,0,Lymphocyte,Normal_WBC
CELL_001766,0,Lymphocyte,Normal_WBC
CELL_001182,0,Lymphocyte,Normal_WBC
CELL_003579,0,Normal_RBC,Normal_RBC
CELL_002573,0,Eosinophil,Normal_WBC
CELL_003358,0,Normal_RBC,Normal_RBC
CELL_002844,0,Normal_RBC,Normal_RBC
CELL_003127,0,Normal_RBC,Normal_RBC
CELL_002466,0,Eosinophil,Normal_WBC
CELL_000970,0,Neutrophil,Normal_WBC
CELL_002703,0,Basophil,Normal_WBC
CELL_002898,0,Normal_RBC,Normal_RBC
CELL_003893,0,Platelet,Normal_Platelet
CELL_005434,1,Toxic_Granulation,Infection
CELL_005538,1,Toxic_Granulation,Infection
CELL_000325,0,Neutrophil,Normal_WBC
CELL_002078,0,Monocyte,Normal_WBC
CELL_004271,1,Blast_Cell,Leukemia
CELL_004181,1,Blast_Cell,Leukemia
CELL_005466,1,Toxic_Granulation,Infection
CELL_000916,0,Neutrophil,Normal_WBC
CELL_004334,1,Prolymphocyte,Leukemia
CELL_002705,0,Basophil,Normal_WBC
CELL_003997,0,Platelet,Normal_Platelet
CELL_001966,0,Monocyte,Normal_WBC
CELL_003686,0,Normal_RBC,Normal_RBC
CELL_003845,0,Platelet,Normal_Platelet
CELL_001721,0,Lymphocyte,Normal_WBC
CELL_005840,1,Artefact,Artefact
CELL_003741,0,Platelet,Normal_Platelet
CELL_002926,0,Normal_RBC,Normal_RBC
CELL_001819,0,Lymphocyte,Normal_WBC
CELL_003837,0,Platelet,Normal_Platelet
CELL_004586,1,Elliptocyte,Anemia
CELL_003471,0,Normal_RBC,Normal_RBC
CELL_003018,0,Normal_RBC,Normal_RBC
CELL_000411,0,Neutrophil,Normal_WBC
CELL_003083,0,Normal_RBC,Normal_RBC
CELL_004604,1,Elliptocyte,Anemia
CELL_005455,1,Toxic_Granulation,Infection
CELL_001727,0,Lymphocyte,Normal_WBC
CELL_005588,1,Reactive_Lymphocyte,Infection
CELL_005184,1,Target_Cell,Anemia
CELL_001967,0,Monocyte,Normal_WBC
CELL_003867,0,Platelet,Normal_Platelet
CELL_003990,0,Platelet,Normal_Platelet
CELL_003560,0,Normal_RBC,Normal_RBC
CELL_002288,0,Monocyte,Normal_WBC
CELL_004367,1,Prolymphocyte,Leukemia
CELL_002707,0,Basophil,Normal_WBC
CELL_001667,0,Lymphocyte,Normal_WBC
CELL_005317,1,Hypersegmented_Neutrophil,Infection
CELL_004851,1,Spherocyte,Anemia
CELL_000599,0,Neutrophil,Normal_WBC
CELL_002877,0,Normal_RBC,Normal_RBC
CELL_000018,0,Neutrophil,Normal_WBC
CELL_004994,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_000241,0,Neutrophil,Normal_WBC
CELL_005574,1,Reactive_Lymphocyte,Infection
CELL_001818,0,Lymphocyte,Normal_WBC
CELL_003406,0,Normal_RBC,Normal_RBC
CELL_000466,0,Neutrophil,Normal_WBC
CELL_000298,0,Neutrophil,Normal_WBC
CELL_005656,1,Reactive_Lymphocyte,Infection
CELL_005739,1,Smudge_Cell,Artefact
CELL_002105,0,Monocyte,Normal_WBC
CELL_000064,0,Neutrophil,Normal_WBC
CELL_000706,0,Neutrophil,Normal_WBC
CELL_005234,1,Target_Cell,Anemia
CELL_002210,0,Monocyte,Normal_WBC
CELL_005225,1,Target_Cell,Anemia
CELL_001537,0,Lymphocyte,Normal_WBC
CELL_004296,1,Prolymphocyte,Leukemia
CELL_001587,0,Lymphocyte,Normal_WBC
CELL_000085,0,Neutrophil,Normal_WBC
CELL_001653,0,Lymphocyte,Normal_WBC
CELL_004370,1,Prolymphocyte,Leukemia
CELL_005598,1,Reactive_Lymphocyte,Infection
CELL_002158,0,Monocyte,Normal_WBC
CELL_004359,1,Prolymphocyte,Leukemia
CELL_001412,0,Lymphocyte,Normal_WBC
CELL_001892,0,Lymphocyte,Normal_WBC
CELL_000605,0,Neutrophil,Normal_WBC
CELL_000334,0,Neutrophil,Normal_WBC
CELL_005407,1,Hypersegmented_Neutrophil,Infection
CELL_001145,0,Lymphocyte,Normal_WBC
CELL_001322,0,Lymphocyte,Normal_WBC
CELL_003726,0,Platelet,Normal_Platelet
CELL_001731,0,Lymphocyte,Normal_WBC
CELL_003247,0,Normal_RBC,Normal_RBC
CELL_000682,0,Neutrophil,Normal_WBC
CELL_000743,0,Neutrophil,Normal_WBC
CELL_000248,0,Neutrophil,Normal_WBC
CELL_005328,1,Hypersegmented_Neutrophil,Infection
CELL_005319,1,Hypersegmented_Neutrophil,Infection
CELL_002608,0,Eosinophil,Normal_WBC
CELL_001562,0,Lymphocyte,Normal_WBC
CELL_004591,1,Elliptocyte,Anemia
CELL_005710,1,Smudge_Cell,Artefact
CELL_001437,0,Lymphocyte,Normal_WBC
CELL_005118,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_003707,0,Platelet,Normal_Platelet
CELL_002866,0,Normal_RBC,Normal_RBC
CELL_002572,0,Eosinophil,Normal_WBC
CELL_001033,0,Neutrophil,Normal_WBC
CELL_003671,0,Normal_RBC,Normal_RBC
CELL_004723,1,Schistocyte,Anemia
CELL_005485,1,Toxic_Granulation,Infection
CELL_002802,0,Normal_RBC,Normal_RBC
CELL_000316,0,Neutrophil,Normal_WBC
CELL_004392,1,Prolymphocyte,Leukemia
CELL_001515,0,Lymphocyte,Normal_WBC
CELL_000150,0,Neutrophil,Normal_WBC
CELL_001159,0,Lymphocyte,Normal_WBC
CELL_004902,1,Spherocyte,Anemia
CELL_000291,0,Neutrophil,Normal_WBC
CELL_000454,0,Neutrophil,Normal_WBC
CELL_001329,0,Lymphocyte,Normal_WBC
CELL_005390,1,Hypersegmented_Neutrophil,Infection
CELL_001787,0,Lymphocyte,Normal_WBC
CELL_004516,1,Elliptocyte,Anemia
CELL_005670,1,Reactive_Lymphocyte,Infection
CELL_002407,0,Eosinophil,Normal_WBC
CELL_001045,0,Neutrophil,Normal_WBC
CELL_004340,1,Prolymphocyte,Leukemia
CELL_004523,1,Elliptocyte,Anemia
CELL_002722,0,Basophil,Normal_WBC
CELL_004222,1,Blast_Cell,Leukemia
CELL_005015,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_000684,0,Neutrophil,Normal_WBC
CELL_002463,0,Eosinophil,Normal_WBC
CELL_002305,0,Monocyte,Normal_WBC
CELL_000806,0,Neutrophil,Normal_WBC
CELL_004464,1,Elliptocyte,Anemia
CELL_003781,0,Platelet,Normal_Platelet
CELL_004985,1,Sickle_Cell,Sickle_Cell_Anemia
CELL_000801,0,Neutrophil,Normal_WBC
CELL_004440,1,Prolymphocyte,Leukemia
CELL_002946,0,Normal_RBC,Normal_RBC
CELL_003525,0,Normal_RBC,Normal_RBC
CELL_000382,0,Neutrophil,Normal_WBC
CELL_002771,0,Basophil,Normal_WBC
CELL_005680,1,Reactive_Lymphocyte,Infection
CELL_000423,0,Neutrophil,Normal_WBC
CELL_000795,0,Neutrophil,Normal_WBC
CELL_001733,0,Lymphocyte,Normal_WBC
CELL_001164,0,Lymphocyte,Normal_WBC
CELL_003259,0,Normal_RBC,Normal_RBC
